Dataset,Norm type,Metric,svm_mean,svm_var,knn_mean,knn_var,logreg_mean,logreg_var
adult,variablescaling,ACC,0.8098572086596038,3.332078476124784e-05,0.7996622140334715,2.7029289517670737e-05,0.8148318747121142,2.4818968047205305e-05
adult,variablescaling,AUC,0.6468738158190062,1.982075017149837e-05,0.7176965014183738,6.923219236468583e-05,0.6789593380798743,2.4293834800814832e-05
adult,tanh,ACC,0.7622293873790881,2.9671491207194834e-05,0.8126209120221096,2.4117398433712767e-05,0.7565791493935207,2.5673298786216163e-05
adult,tanh,AUC,0.5,0.0,0.7266628924762694,6.247002195095724e-05,0.4992952224494209,1.7099084383224305e-06
adult,minmax,ACC,0.7622293873790881,2.9671491207194834e-05,0.8141870105941962,3.651556681838801e-05,0.8134500230308614,4.815747333475574e-05
adult,minmax,AUC,0.5,0.0,0.728827306373649,6.527816737284279e-05,0.6818987746235784,6.036029339551248e-05
adult,zscore,ACC,0.8088131429448795,3.676073899514617e-05,0.8184246890833717,2.7116042749446333e-05,0.824167050514356,1.2460404398775433e-05
adult,zscore,AUC,0.6170289586479833,3.807231380970172e-05,0.735024052837942,5.77655004513365e-05,0.6939192228853954,6.083005399467791e-05
adult,variableScaling,ACC,0.8098572086596038,3.332078476124784e-05,0.7996622140334715,2.7029289517670737e-05,0.8155995700905881,2.6497454488087583e-05
adult,variableScaling,AUC,0.6468738158190062,1.982075017149837e-05,0.7176965014183738,6.923219236468583e-05,0.6808983145528262,2.8655779243127587e-05
adult,Un,ACC,0.7975740826040226,2.058126126893267e-05,0.762843543681867,2.6691706289672925e-05,0.7880853677260864,4.700139222435069e-05
adult,Un,AUC,0.575873172616575,8.457639706143804e-06,0.6308225038695261,4.348350596988305e-05,0.6138060082526196,0.00010459110610081695
