Dataset,Norm type,Metric,NN_mean,NN_std
adult,variablescaling,ACC,0.8314755105174265,0.010094233832276185
adult,variablescaling,AUC,0.7734214872935035,0.023861707031924244
adult,tanh,ACC,0.7669583909104867,0.011408438935357139
adult,tanh,AUC,0.6524629334624683,0.0800159535019341
adult,minmax,ACC,0.8262858897589436,0.005904051635575293
adult,minmax,AUC,0.7048352739188456,0.06339730779722919
adult,zscore,ACC,0.8413634269921696,0.004766541411358105
adult,zscore,AUC,0.735745466518523,0.024027176474420063
adult,variableScaling,ACC,0.8373714110241055,0.00391256610536001
adult,variableScaling,AUC,0.7493689978521731,0.026788080104030217
adult,Un,ACC,0.7880546599109474,0.012432532158302978
adult,Un,AUC,0.5782548579764752,0.037808692041936
